FPS,GrayScale_Func [ms],EqualizeHist_Func [ms],Clahe_Func [ms],Face_Func [ms],Nose_Func [ms],Mouth_Func [ms],RightEye_Func [ms],REyeOpen_Func [ms],LeftEye_Func [ms],LEyeopen_Func [ms],Tracking_Func [ms],FaceFound?,NoseFound?,MouthFound?,RightEyeFound?,REyeOpenFound?,LeftEyeFound?,LEyeopenFound?
13.3333,0.775703,0.953456,0,43.4507,7.49175,15.3406,2.83289,2.33049,4.3887,3.62704,7.43719,1,0,1,1,0,1,0
13.5,15.6034,0.818256,0,43.4507,8.13605,13.4909,16.1637,2.33049,4.70466,3.49764,6.79785,1,0,1,1,0,1,0
13.6667,1.13607,0.908533,0,43.4507,7.95013,8.28444,4.18773,2.99693,3.02064,3.49764,8.54274,1,1,1,1,0,1,0
13.8333,2.02422,0.912513,0,43.4507,8.17489,7.82295,4.03659,3.36333,2.87052,3.49764,9.59909,1,1,1,1,0,1,0
14,1.96557,0.913948,0,43.4507,10.0049,7.66277,4.63148,3.09613,3.062,3.49764,7.48301,1,1,1,1,0,1,0
14.1667,2.0633,0.911523,0,43.4507,9.5957,7.17164,4.91585,3.10927,2.83822,3.49764,10.8611,1,1,1,1,0,1,0
14.3333,4.88482,0.91808,0,43.4507,8.5996,7.85287,4.32283,3.00578,2.7061,3.49764,7.04082,1,1,1,1,0,1,0
14.5,1.28433,1.14699,0,43.4507,11.1026,7.13971,6.25101,3.14242,2.73102,3.49764,9.85793,1,1,1,1,0,1,0
14.6667,1.25993,0.913595,0,43.4507,8.94047,7.15195,7.88361,3.25206,2.5498,3.49764,7.84158,1,1,1,1,0,1,0
14.8333,8.58197,1.0427,0,43.4507,7.51284,6.99754,5.12661,3.05658,2.34932,3.49764,6.99305,1,1,1,1,0,1,0
15,1.6598,0.902632,0,43.4507,6.67944,6.22963,5.74294,3.14573,2.22037,3.49764,10.7954,1,1,1,1,0,1,0
13,0.780296,2.89013,0,43.4507,5.63162,6.08969,5.09439,2.89063,2.09134,3.49764,7.60109,1,1,1,1,0,1,0
13.1429,1.37246,0.907879,0,43.4507,6.1442,2.22664,4.69043,2.64938,1.80979,3.49764,7.4003,1,1,1,1,0,1,0
13.2857,1.89665,0.918785,0,43.4507,5.72851,2.01299,4.38195,2.41913,1.85388,3.49764,7.93919,1,1,1,1,0,1,0
13.4286,0.887868,0.911068,0,43.4507,4.78816,1.09118,4.01534,2.35447,1.80367,3.49764,9.00011,1,1,1,1,0,1,0
13.5714,1.39418,0.909193,0,43.4507,4.96452,1.11854,2.33033,2.35447,2.22142,3.49764,9.84648,1,1,1,1,0,1,0
13.7143,2.17897,1.00479,0,43.4507,4.86895,1.49608,2.19435,2.35447,1.95822,3.49764,7.43055,1,1,1,1,0,1,0
